Year,Women,Men
1990,147,130
1991,146,129
1992,150,130
1993,147,131
1994,153,129
1995,148,129
1996,148,130
1997,147,128
1998,146,128
1999,143,128
2000,145,126
2001,144,127
2002,139,126
2003,135,128
2004,143,126
2005,138,128
2006,140,127
2007,141,127
2008,144,125
2009,142,125
2010,143,125
2011,139,125
2012,139,125
2013,140,126
2014,140,124
2015,143,125
